location_id,address,fun_facts
115,22nd & Wisconsin Streets (Potrero Hill),
116,22nd and Carolina Streets (Potrero Hill),
117,22nd Avenue & Balboa Street (Richmond District),
118,22nd Bet. Carolina & Rhode Island Streets (Potrero Hill),
119,22nd St.,
120,2340 Francisco Street,
121,23rd & Capp Streets (Mission District),
122,23rd & Iowa Streets (Dogpatch),
123,24 Hill St.,
124,2413 Harrison St.,
125,2417 Franklin Street,
126,2450 Harrison Street,
127,24th and Castro Streets (Noe Valley),
128,24th and Church St.,
129,24th Between Portrero & Alabama,
130,24th St. between Florida and Alabama,
131,24th Street between Folsom and Harrison Streets,
132,24th Street between Mission Street and Potrero Avenue,
133,24th Street Mini Park (Mission District),
134,253 4th Ave.,
135,2552 Hyde Street,
136,2601 Lyon Street,
137,2632 Larkin Street at Lombard,
138,2633 Vallejo Street,
139,2700 Vallejo Street (Pacific Heights),
140,280 Freeway at Pennsylvania and Mariposa Streets,
141,2800 Scott Street,
142,2810 Pacific Avenue,
143,2866 24th St.,
144,2898 Broadway,
145,2898 Vallejo Street,
146,2915 16th St.,
147,2930 3rd Street,
148,2930 Vallejo Street,
149,2934 24th St.,
150,2937 24th Street,
151,29th and Dolores Street,
152,2nd St & Howard,
153,2nd St. at Townsend St.,
154,301 Howard Street,
155,303-305 S. Van Ness,
156,3033 24th Street,
157,304 Lily St.,
158,305 Hugo Street,
159,3050 24th Street,
160,307 Filbert Street,
161,3079 16th Street,
162,312 Fillmore Street,
163,3122 16th Street,
164,314 11th Street,
165,32 Napier Lane,
166,3232 Jackson Ave.,
167,33 Spruce St,
168,330 Santa Clara Ave.,
169,333 Pacheco St at Lopez Ave.,
170,3355 Geary Blvd.,
171,343 Union Street,
172,350 Santa Ana Ave.,
173,350 Union Street,
174,3563 20th St.,
175,3567 18th Street,
176,3639 Taraval St,
177,3650 21st Street,
178,369 Embarcadero,
179,372/374 Pennsylvania Avenue,
180,373 Columbus Avenue,
181,375 Castro St. and 17th between Castro and Diamond St.,
182,375 Laguna Honda Blvd.,
183,387 Fair Oaks at 25th Street,
184,391 Pennsylvania Avenue at 19th Street,
185,3rd Street between Market & Harrison,
186,40 Prentiss Street,
187,400 Montgomery Street,
188,4015 21st St,
189,4100 20th St,
190,411 Shrader St.,
191,42 Walter Street,
192,420 Jones St. at Ellis St.,
193,420 Mason St.,
194,422 Oak Street at Laguna,
195,424 Sansome Street,
196,426 Castro St.,
197,430 Vallejo Street (Telegraph Hill),
198,"433 Baker Street,",
199,435 23rd Street at Illinois,
200,435 Broadway,
201,440 Castro St.,
202,475 Diamond St.,
203,50 California Street,
204,500 Block of Pacific Avenue (Chinatown),
205,500 Club (500 Guerrero),
206,500 Cortland Avenue,
207,500 Grove Street,
208,504 Broadway,
209,510 Noe Street & 18th St.,
210,516 Green Street,
211,520 Castro St.,
212,520-522A Green Street at Grant Street,
213,53 Potomac St,
214,534 Hyde Street,
215,535 Octavia Street,
216,544 Natoma (SOMA),
217,550 El Camino Del Mar (Seacliff),
218,5546 Geary Ave,
219,555 California,
220,555 Market St.,
221,5th and Beale Streets,
222,5th Ave @ Fulton Street in Golden Gate Park,
223,60 Leavenworth St.,
224,60 Potomac,
225,60 Spear Street,
226,600 Octavia Street,
227,601 Buena Vista Ave West,
228,601 Buena Vista Ave West at Java St.,
229,601 Buena Vista West,
230,610 Rhode Island Street (Potrero Hill),
231,628 Cole Street,
232,634 Raycliff Terrace,
233,651 Brannan Street,
234,66 Potomac,
235,67 Deming Street,
236,67-69 Deming St.,
237,679 Madrid St,
238,68 Division Street,
239,6th Street On-ramp to Highway 280,
240,700 Block of Jackson Street (Chinatown),
241,700 Kansas St.,
242,710 Steiner Street (Hayes Valley),
243,720 Steiner Street (Hayes Valley),
244,722 Steiner Street,
245,"722 Steiner Street (Postcard Row, Alamo Square, Hayes Valley)",
246,724 Brazil Avenue,
247,731 Grant Avenue,
248,745 Treat Ave,
249,745 Treat Ave.,
250,75 California Street,
251,755 Vallejo Street,
252,766 Sutter Street,
253,766 Vallejo Street at Stockton Street (North Beach),
254,770 Haight St,
255,770 Haight St.,
256,770 Haight Street,
257,772 Commercial Street at Kearney,
258,790 Ulloa,
259,8 Octavia Street,
260,800 Bay Street,
261,812 22nd St. and Tennessee,
262,819 Mason Street at Pine,
263,82 & 67 Rico Way (Marina District),
264,83 Watchman Way,
265,835-865 Market Street at 5th Street,
266,850 Bryant- 6th floor County Jail,
267,87 Cervantes Blvd (beach),
268,878-898 Chestnut St.,
269,883 42nd Ave.,
270,887 De Haro Street,
271,9 Calhoun Terrace,
272,90 Gold Street,
273,900 Block of Grant Avenue (Chinatown),
274,900 Lombard Street,
275,901 Missouri Street,
276,901 Union Street,
277,901 Valencia Street,
278,901/909Tennessee St.,
279,"915 Naples, San Francisco",
280,923 Vermont St.,
281,940 Powell St.,
282,950 Mason Street,
283,951 Hudson Avenue,
284,970 Geary Street,
285,Administration Building (Treasure Island),"An artificial island, Treasure Island was created for the 1939 Golden Gate International Exposition, and is named after the novel by Robert Louis Stevenson, a one-time San Francisco resident."
286,"Agua Vista Park at Mission Rock, 817 Terry A Francois Blvd.",
287,"Aladdin Terrace (off of Taylor Street, Between Filbert and Union)",
288,Alamo Square,
289,Alamo Square (Hayes Valley),
290,Alamo Square Park,
291,Albert S. Samuels Clock (856 Market Street between Powell and Stockton),
292,Alcatraz Island,Alcatraz Island was a military fort before it became a prison.
293,Alco Plaza,
294,Alcoa Building (1 Maritime Plaza),
295,Alioto Park,
296,Alta Plaza Park,
297,Alta Plaza Park (Steiner Street),
298,"Always Open Car Wash, 2560 Marin Street",
299,"American Can Company (Between Illinois & Kentucky, 20th and 22nd Streets)",
300,"American Roofing Co. Building (297 Kansas Street, Potrero Hill)",
301,Andrew S. Hallidie Plaza (Market & Powell Streets),
302,"Andronico's, 1200 Irving Street",
303,Antonio Alley,
304,Aquatic Park (Jefferson Street),
305,"Asia Star Fantasy, 1126 Grant Ave.",
306,"Asian Art Museum (200 Larkin Street, Civic Center)",The Dalai Lama opened an exhibition on Wisdom and Compassion at the museum in 1991.
307,AT&T Park,
308,AT&T Stadium,
309,"Atlas Café, 3049 20th St.",
310,Aub Zam Zam Bar,
311,Baker Beach,"From 1986-1990, the north end of Baker Beach was home to the Burning Man festival."
312,Balboa at 22nd Avenue,
313,"Balboa pool Lot, San Jose Avenue & Havelock St",
314,Balmy Street (Mission District),
315,Bank of America (1455 Stockton Street),
316,Bank of America (38th Street at Balboa Street),"The Bank of America Building was the tallest building on the West Coast from 1969-1972, when it was surpassed by the TransAmerica Pyramid. Today, the Bank of America building is the 5th tallest building on the West Coast."
317,"Bank of America Building (555 California Street, Financial District)","The Bank of America Building was the tallest building on the West Coast from 1969-1972, when it was surpassed by the TransAmerica Pyramid. Today, the Bank of America building is the 5th tallest building on the West Coast."
318,Bank of America Building (555 California Street),"The Bank of America Building was the tallest building on the West Coast from 1969-1972, when it was surpassed by the TransAmerica Pyramid. Today, the Bank of America building is the 5th tallest building on the West Coast."
319,Barbary Coast,
320,BART from Civic Center to 24th St.,
321,BART Station @ 16th Street & Mission Streets,
322,Battery Spencer,
323,Battery Street (The Embarcadero),
324,Bay Bridge,
325,Bay St. at Polk,
326,Bayshore Blvd near Cesar Chavez (Bayview),
327,"Bayview Police Station, 201 Williams Ave.",
328,Bechelli's Flower Market Café,
329,Belgravia Apartments (795 Sutter Street at Jones),
330,Belli Building (722 Montgomery Street at Washington),
331,"Bentley Reserve, 301 Battery Street",
332,"Benu Restaurant, 22 Hawthorne Street",
333,Bernal Heights Boulevard,
334,Bernal Heights Neighborhood,
335,Bernal Heights Park,
336,Berry Street between 3rd and 4th Streets,
337,"Bessie Charmichael Elementary School (375 Seventh Street, SOMA)",
338,"Betelnut restaurant, 2030 Union St.",
339,"Bi-Rite Creamery, 3692 18th Stret",
340,"Billy Goat Hill, Castro St. & 30th St.",
341,"Bimbo's 365 Club (1025 Columbus Avenue, North Beach)",
342,Bix Restaurant (56 Gold Street),
343,"Blind Cat, 3050 24th Street, San Francisco",
344,Blooms Saloon (18th Street between Missouri and Texas Streets),
345,"Blue Danube Café, 306 Clement",
346,Boardman Place between Bryant and Brannan Streets,
347,"Boulevard Restaurant, 1 Mission St.",
348,"Bowles Franklin Galleries (765 Beach Street, Fisherman's Wharf)",
349,"Boxer Stadium, 166 Havelock Street",
350,Broadway (North Beach),
351,Broadway @ Jones Streets,
352,Broadway & Columbus,
353,Broadway & Sansome,
354,Broadway & Taylor,
355,Broadway and Columbus Avenue (North Beach),
356,Broadway and Kearney,
357,Broadway and Taylor St Intersection,
358,Broadway at Osgood Street (North Beach),
359,Broadway between Powell and Davis,
360,Broadway from Mason to Taylor,
361,Broadway Studios (435 Broadway at Montgomery Street),
362,Broadway Tunnel (Broadway between Powell and Larkin),
363,Broadway Tunnel (Russian Hill),
364,"Broadway, Between Franklin & Laguna Streets",
365,Brocklebank Apartments (1000 Mason Street),
366,Broderick from Fulton to McAlister,
367,Buena Vista betweeen Upper Terrace and Java St.,
368,Buena Vista Café (2765 Hyde Street),
369,Buena Vista East & Duboce,
370,Buena Vista Park,
371,Buena Vista Park (Haight Street at Buena Vista),
372,"Building 924, Presidio (Golden Gate National Recreation Area)",
373,"Burger Island (901 3rd Street, China Basin)",
374,"Burritt Alley (Off Bush Street, between Powell and Stockton Streets)",
375,Bush & Kearny,
376,Bush and Sansome St.,
377,Bush and Sutter Streets,
378,Bush St. at Stockton St.,
379,Bush Street (between Grant & Kearny Streets),
380,Bush Street at Jones,
381,Cable Car Signal Box (California Street at Powell Street),
382,Café Cantata (2040 Union Street),
383,Café Picaro 3120 16th Street,
384,Café Trieste (609 Vallejo),
385,Caffe Trieste,
386,Cal-Mart Supermarket,
387,Cala Foods (California Street and Hyde),
388,California @ Montgomery,
389,California & Davis St,
390,California & Grant Streets,
391,California & Hyde Streets,
392,California & Larkin Streets (Nob Hill),
393,California & Powell,
394,California Academy of Sciences (Golden Gate Park),"Founded in 1853, 3 years after California joined the United States, the Academy was originally named the California Academy of Natural Sciences and was the first institution of its kind in the United States."
395,California at Grant,
396,California at Jones,
397,California at Larkin,
398,California at Mason,
399,California between Kearney and Davis,
400,California between Leavenworth and Powell,
401,"California Hall (625 Polk Street, Van Ness/Civic Center)",
402,"California Palace of the Legion of Honor (34th Avenue & Clement, Lincoln Park)",
403,California St from Mason to Kearny,
404,California St from Taylor to Powell,
405,California St. between Drumm St. and Kearny St.,
406,California St. from Jones St. to Mason St.,
407,California Street between Front and Davis,
408,California Street between Sansome & Davis,
409,Cameron House (920 Sacramento Street),
410,Candlestick Park,
411,Candlestick Park (602 Jamestown Ave.),"Then Vice President Richard Nixon threw out the first pitch when Candlestick opened in 1960. On August 29, 1966, The Beatles played their last concert for paying fans at Candlestick Park."
412,"Candlestick Park Exit, Highway 101",
413,"Capital Restaurant, 839 Clay Street","Russell Tovey originally auditioned for the role of Patrick, but was unsuccessful. After the show got picked up, the character of Kevin was written with him in mind."
414,Carl & Cole Streets (Cole Valley),
415,"Carnelian Room, Bank of America Building (555 California Street, 53rd Floor)",
416,Casa Lucas Market at 2934 24th St,
417,Castagnola's Restaurant (Fisherman's Wharf),
418,Castle between Union and Green,
419,Castle Street @ Green Street,
420,Castro St. between 17th and 18th St.,
421,Castro St. between 21st an Hill St,
422,Castro St. from Market to 18th St.,
423,Castro Street @ 18th street,
424,Castro Street between 17th & 18th,
425,"Castro Theatre (429 Castro Street, The Castro)",
426,"Castro Theatre, 429 Castro St.",
427,"Cathedral Hill Hotel (1101 Van Ness Avenue, Civic Center)",
428,CCSF Alemany Campus,
429,"Center for the Arts, Yerba Buena Gardens (701 Mission Street)",
430,Cesar Chavez & Mission Street (Mission),
431,Chambord Apartments (1298 Sacramento Street at Jones),
432,Chase H & Q  (1 Bush Street at Sansome),
433,Chaya / Perry's 132 Embarcadero,
434,Chestnut & Divisadero Streets (Marina District),
435,Chestnut St. from Larkin to Columbus,
436,Chinatown,"First established in the mid-19th Century, SF's Chinatown is the oldest and largest Chinatown in the US."
437,Chinatown (Stockton @ Jackson & Jackson toward Grant,
438,Chinatown Gate,
439,Chouguet's (2500 Washington Street),
440,Chrissy Field,
441,Christopher's Books (1400 18th Street),
442,Church @ Duboce Street,
443,Church and Duboce Muni Station,
444,Church Street MUNI Station,
445,Citicorp Center (1 Sansome Street at Sutter),
446,"Citizens Band, 1198 Folsom Street",
447,City Club (155 Sansome Street),
448,City Hall,"The dome of SF's City Hall is almost a foot taller than that of the US Capitol Building. In 1954, Joe DiMaggio and Marilyn Monroe married at the Beaux Arts-style building."
449,City Light Bookstore (261 Columbus Avenue),
450,City Lights Bookstore (261 Columbus),
451,"City Lights Bookstore, 261 Columbus Ave.",
452,Civic Center Plaza,
453,Claire Lilienthal Elementary School,
454,Clarion Alley between Valencia & Mission St.,
455,Clarion Alley between Valencia and Mission,
456,Claude Lane at Bush Street,
457,Clay between Stockton and Grant,
458,Clay St. at Sansome,
459,Clay St. at Taylor,
460,"Clayton Post Office, 554 Clayton St.",
461,Clement St. from 5th and 7th Ave.,
462,Clement St. from 6th to 7th Ave.,
463,Clementina & Sumner Streets,
464,Cliff House (1090 Point Lobos Avenue),"In 1887, the Cliff House was severely damaged when the schooner Parallel, abandoned and loaded with dynamite, ran aground on the rocks below."
465,"Cliffhouse, 1090 Point Lobos Ave.",
466,Coffee Dan's (O'Farrell Street at Powell),
467,Coi Restaurant (373 Broadway),
468,Coit Tower,"The Tower was funded by a gift bequeathed by Lillie Hitchcock Coit, a socialite who reportedly liked to chase fires. Though the tower resembles a firehose nozzle, it was not designed this way."
469,Columbus & Lombard Streets (North Beach),
470,Columbus & Pacific Ave,
471,Columbus and Green,
472,Columbus Avenue at Green & Stockton,
473,Columbus Avenue between Washington and Bay Streets,
474,Columbus between Bay and Washington,
475,Condor Club (Columbus and Broadway),
476,Conservatory of Flowers (Golden Gate Park),"The Conservatory, unveiled in 1879, is the oldest public conservatory in the Western Hemisphere."
477,"Conservatory of Flowers, Golden Gate Park",
478,Construction Site in front of 260 Stockton St. at Post St.,
479,Conzelman Rd at McCollough Rd and down Conzelman Rd.,
480,Corbett St.,
481,"Cordova Market, 301 Rolph Street, San Francisco",
482,Corona Heights Park,
483,Cost Plus World Market (2552 Taylor Street),
484,Cow Palace,
485,Crissy Field,
486,Curran Theater (445 Geary Street),Called the Shubert Theatre in the film.
487,Cybelle's Pizza (1000 Bush Street),
488,"Daniel's Pharmacy, 943 Geneva Ave",
489,"Daniel's Pharmacy, 943 Geneva Ave.",
490,Danilo's Bakery (Green Street & Bannam Place),
491,Dante Building (1606 Stockton Street at Union),
492,Davies Symphony Hall (201 Van Ness Ave.),
493,Delores Park,
494,"Department of Public Health (101 Grove Street at Polk, Civic Center)",
495,Doc's Clock,
496,"Doc's Clock, 2575 Misison Street",
497,Dolores Park,
498,"Dolores Park, 20th St. between Church & Dolores St.",
499,"Dolores Park, San Francisco",
500,"Double Happiness Health, 3380 20th Street",
501,Driving various SF Streets,
502,Duboce Park,
503,"Duboce St., Duboce Café",
504,E Tutto Qua Restaurant (270 Columbus St.),
505,"Eber Electronics (2355 Market Street, Castro)",
506,Eddy @ Polk Street,
507,Eddy & Taylor St.,
508,Edinburgh Castle (950 Geary Street),
509,El Camino Del Mar,
510,Elbo Room (647 Valencia Street),
511,"Ele Nino Traiing Cetner, 2920 3rd Street",
512,Ellis and Jones St.,
513,"Ellis Food Center, 398 Ellis",
514,Embarcadero & Market,
515,Embarcadero & Washington,
516,Embarcadero between Pier 2 and Harrison,
517,Embarcadero Freeway,"Embarcadero Freeway, which was featured in the film was demolished in 1989 because of structural damage from the 1989 Loma Prieta Earthquake)"
518,Embarcadero from Broadway to Folsom,
519,Embarcadero Street,
520,Embarcadero Street at Washington Street,
521,Embarcadero Street Station- BART,
522,"Encore Karaoke, 1550 California Street",
523,Enrico's Café (504 Broadway),
524,Epic Roasthouse,
525,Epic Roasthouse (399 Embarcadero),
526,Ernie's Restaurant (847 Montgomery Street),
527,Eros,
528,"Esta Noche, 3079 16th Street",
529,"Eureka Arts Center, 4400 20th St.",
530,Europa Café (4318 California St. and 5th Ave.),
531,F Train,
532,Fairmont Hotel,
533,"Fairmont Hotel (950 Mason Street, Nob Hill)","In 1945 the Fairmont hosted the United Nations Conference on International Organization as delegates arrived to draft a charter for the organization. The U.S. Secretary of State, Edward Stettinius drafted the charter in the hotel's Garden Room."
534,Farley's Café (1315 18th Street Near Missouri),
535,Ferry Building,"Every hour and half-hour, the clock bell atop the Ferry Building chimes portions of the Westminster Quarters."
536,Ferry Plaza,
537,"Fiesta Laundromat (898 S. Van Ness Ave., Mission)",
538,Filbert & Leavenworth Streets,
539,Filbert & Taylor Streets (Russian Hill),
540,Filbert and Kearny Steps,
541,Filbert between Grant and Kearny,
542,Filbert between Hyde and Jones,
543,Filbert between Leavenworth and Hyde,
544,Filbert from Hyde to Leavenworth,
545,Filbert St. & Leavenworth,
546,Filbert St. from Hyde to Leavenworth,
547,Filbert St. from Jones to Mason,
548,"Filbert Steps, Filbert Street",
549,Fillmore and Waller,
550,Fillmore between Haight and Waller,
551,Financial District,
552,Fior d' Italia (601 Union Street at Stockton),
553,Firestation #3 (Brazil Avenue and Athens Street),
554,Firestation #38 (California & Laguna),
555,First Bank (550 Montgomery Street at Commercial),
556,Fisherman's Wharf,
557,Fisherman's Wharf pier near Chapel (Port Walk #19),
558,Flint & 16th (Castro),
559,Flood Building (870 Market Street),
560,Fog City Diner (1300 Battery Street),
561,Folsom,
562,Folsom & Essex Streets,
563,Folsom Street (SOMA),
564,Folsom Street & Embarcadero,
565,Folsom Street Fair on Folsom St.,
566,"Foote, Cone & Belding (733 Front Street at Pacific)",
567,Foreign Cinema (2534 Mission),
568,Forest Hill Station- MUNI,
569,Former Hall of Justice (750 Kearny Street at Washington),
570,Forrest Hill Muni Station,
571,Fort 1,
572,Fort Baker,
573,Fort Funston,
574,Fort Mason (Golden Gate National Recreation Area),
575,"Fort Point (Presidio, Golden Gate National Recreation Area)","Built in 1853, Fort Point is the only West Coast fort built by the Union Army. Though the Confederate army planned to attack San Francisco, the commanding Confederate general learned that the war had ended while end route to SF."
576,"Fort Point, Presidio",
577,Francisco St from Larkin to Polk,
578,Fremont Street Exit of Bay Bridge,
579,Front St. between Market and Clay,
580,Gabbiano's Restaurant (Ferry Building),
581,Gaspare's Pizza House (5546 Geary Blvd.),
582,Geary & 20th Ave,
583,Geary & 27th Ave,
584,Geary from 22nd Ave to Arguello,
585,Geary St. from Polk to Larkin,
586,George Washington High School (600 32nd Avenue ),
587,"Ghirardelli Square (900 North Point Street, Fisherman's Wharf)",
588,Gibb Street (Chinatown),
589,Glen Park Subway Station,
590,Glide Memorial Church (434 Ellis St),
591,Golden Dragon Restaurant (816 Washington Street at Grant),
592,Golden Gate & Steiner Streets (Hayes Valley),
593,Golden Gate Ave & Jones,
594,Golden Gate Bridge,"With 23 miles of ladders and 300,000 rivets in each tower, the Golden Gate Bridge was the world's longest span when it opened in 1937."
595,Golden Gate National Recreation Area,The size of the Recreation Area is over two and a half greater than that of the city and county of San Francisco.
596,Golden Gate Park,
597,Golden Gate Park Children's Playground,
598,Gough & Eddy Streets (Western Addition),
599,Gough Street & Clay Street,
600,Grace Cathedral Episcopal Church (1100 California Street),Grace Cathedral Episcopal Church is the West Coast's largest Episcopalian cathedral.
601,"Grace Cathedral, 1100 California St.",
602,Grand View Ave.,
603,Grant & Washington St.,
604,Grant Ave from Sacramento to Clay,
605,Grant Avenue (North Beach),
606,Grant Avenue & Union Street,
607,Grant Avenue between Clay and Washington Streets,
608,Grant Avenue between Sacramento and Washington,
609,Grant between Bush and Broadway,
610,Grant between Bush and Market,
611,Grant between California and Washington,
612,Grant between Sacramento and Jack Kerouac Alley,
613,Grant between Union and Green,
614,Grant St. at Bush St.,
615,Grant Street at Pacific Avenue,
616,Green & Laguna Streets,
617,Green and Divisadero,
618,Green between Kearny and Montgomery,
619,Green St. & Grant Ave.,
620,Green Valley Restaurant (510 Green Street Near Grant),
621,Greenwich St at Battery St,
622,"Grove & Polk, thru Fulton & 6th, Masonic, 28th & 47th",
623,Haight St. at Central,
624,Hall of Justice,
625,Hall of Justice (850 Bryant Street),
626,Hamburger Haven,
627,Hamlin Hotel (385 Eddy Street),
628,Hancock School (940 Filbert Street),
629,Hang Ah Alley (Chinatown),
630,Harriet Alley,
631,Harriet Street between Bryant and Brannan Streets,
632,Harrison,
633,Harrison & 20th,
634,Harrison Street (The Embarcadero),
635,Harry's Bar on Fillmore,
636,Harvey Milk Plaza,
637,"Harvey Milk Plaza, 17th and Castro",
638,"Harvey Milk Rec Center, 50 Scott St.",
639,Hayes & Polk Streets (Civic Center),
640,Hayes Street at Laguna,
641,Hayes Street between Ashbury and Shrader,
642,"Hayes Valley Care (601 Laguna Street, Hayes Valley)",
643,Heald College,
644,Heron and Berwick Alleys,
645,Higher Grounds Coffee House,
646,Hills Brothers Plaza (Embarcadero at Harrison Street),
647,Hills Brothers Plaza (The Embarcadero at Harrison),
648,Hobart Building (582 Market Street),
649,Holiday Inn Select Downtown Hotel (750 Kearney Street),
650,Hooker Alley Garden on Mason between Bush & Pine,
651,Horace Mann School (3351 23rd Street),
652,Hotel Majestic (1500 Sutter Street),
653,Howard St. from Embarcadero to 11 St.,
654,Howard Street at Steuart Street,
655,Hunters Point,"With 23 miles of ladders and 300,000 rivets in each tower, the Golden Gate Bridge was the world's longest span when it opened in 1937."
656,Huntington Park,
657,"Huntington Park (California & Taylor Streets, Nob Hill)",
658,Hyatt Fisherman's Wharf (555 Northpoint Street),
659,Hyatt Hotel (555 North Point St.),
660,"Hyatt Regency Hotel (5 Embarcadero Center, Financial District)",
661,Hyatt Regency Hotel (5 Embarcadero Center),
662,Hyde at Union,
663,Hyde St. at Greenwich and Hyde St. at Lombard,
664,Hyde Street & Lombard Street,
665,Hyde Street Cable Car,SF Cable Cars are the only moving National Historical Landmark.
666,Hyde Street Pier,
667,Ida B. Wells High School (1099 Hayes Street),
668,Ina Coolbrith Park (1700 Taylor Street),
669,"Infield Batting Cages, 1888 Clement Street",
670,"International Studies Academy (993 Vermont Street, Potrero Hill)",
671,Intersection of Broadway at Kearney,
672,Intersection of California & Grant Streets (Richmond District),
673,Intersection of California at Polk,
674,Intersection of Clay St. and Walter U Lum Plc,
675,Intersection of Columbus & Kearney Streets,
676,Intersection of Columbus & Mason Streets,
677,Intersection of Columbus and Kearny,
678,Intersection of Fulton & 6th Streets (Chinatown),
679,Intersection of Grant & Fresno Streets (North Beach),
680,Intersection of Lombard and Hyde,
681,Intersection of York & Peralta (Bernal Heights),
682,Irving St. at 9th Ave.,
683,Ivy Street between Laguna and Gough Streets,
684,Jack Kerouac Alley between Columbus & Grant Streets,
685,Jackson St. at Spruce,
686,Jackson St. from Mason St. to Powell St.,
687,"Japanese Tea Garden (Hagiwara Tea Garden Drive, Golden Gate Park)","The Japanese Hagiwara family invented ""Chinese"" fortune cookies in the tea-garden"
688,"Japanese Tea Garden, Hagiwara Tea Garden Drive, Golden Gate Park","The Japanese Hagiwara family invented ""Chinese"" fortune cookies in the tea-garden"
689,"Java House (Pier 40, Embarcadero)",
690,Jawbone at 99 Rhode Island St.,
691,Jefferson Square Park,
692,Jefferson St. at Powell St.,
693,John Muir Drive (Lake Merced),
694,John Shelley Drive John McLaren Park,
695,John St. between Powell and Mason,
696,Joice Street at Clay Street,
697,"Jonell's Bar, 401 Ellis",
698,Jones @ Broadway,
699,Jones & Pacific,
700,Jones Street at Bush,
701,"Julia Morgan Ballroom at the Merchant's Exchange Building, 465 California St.",
702,Justin Herman Plaza,
703,Kansas St at 17th St.,
704,Kearney & Pine St.,
705,Kearney Street (Telegraph Hill),
706,Kearny & Pacific Streets,
707,Kearny Street between Broadway and Pacific Avenue,
708,Kennedy Hotel (226 Embarcadero at Howard Street),
709,Kezar Pavillion,
710,"Kezar Stadium, Golden Gate Park",
711,"KGO-TV ABC7 TV Studios (900 Front Street, Waterfront Historic District)",
712,Kohl Building (400 Montgomery Street),
713,Koshland Park,
714,La Bodega (1332 Grant Avenue at Vallejo),
715,La Rondalla (Valencia and 20th Streets),
716,"La Taqueria, 2889 Mission St.",
717,Lafayette Park (Pacific Heights),
718,Laguna & Sacramento Streets (Pacific Heights),
719,Laguna Honda Hospital,
